"id","code_prefix_start","name","chart_template_id/id"
"pcg_group_1","1","Capitaux","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_10","10","Capital et réserves","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_11","11","Report à nouveau","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_12","12","Résultat de l'exercice","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_13","13","Subventions d'investissement","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_14","14","Provisions réglementées","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_15","15","Provisions","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_16","16","Emprunts et dettes","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_17","17","Dettes rattachées à des participations","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_18","18","Comptes de liaison des établissements et sociétés en participation","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_2","2","Immobilisations","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_20","20","Immobilisations incorporelles","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_21","21","Immobilisations corporelles","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_22","22","Immobilisations mises en concession","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_23","23","Immobilisations en cours","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_25","25","Parts dans des entreprises liées et créances sur des entreprises liées","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_26","26","Participations et créances rattachées à des participations","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_27","27","Autres immobilisations financières","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_28","28","Amortissements des immobilisations","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_29","29","Dépréciations des immobilisations","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_3","3","Stocks et en-cours","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_31","31","Matières premières et fournitures","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_32","32","Autres approvisionnements","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_33","33","En-cours de production de biens","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_34","34","En-cours de production de services","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_35","35","Stocks de produits","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_36","36","Stocks provenant d'immobilisations","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_37","37","Stocks de marchandises","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_38","38","Stocks en voie d'acheminement, mis en dépôt ou donnés en consignation","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_39","39","Dépréciations des stocks et en-cours","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_4","4","Tiers","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_40","40","Fournisseurs et comptes rattachés","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_41","41","Clients et comptes rattachés","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_42","42","Personnel et comptes rattachés","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_43","43","Sécurité sociale et autres organismes sociaux","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_44","44","État et autres collectivités publiques","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_45","45","Groupe et associés","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_46","46","Débiteurs divers et créditeurs divers","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_47","47","Comptes transitoires ou d'attente","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_48","48","Comptes de régularisation","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_49","49","Dépréciations des comptes de tiers","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_5","5","Comptes financiers","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_50","50","Valeurs mobilières de placement","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_51","51","Banques, établissements financiers et assimilés","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_52","52","Instruments de trésorerie","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_53","53","Caisse","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_54","54","Régies d'avances et accréditifs","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_58","58","Virements internes","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_59","59","Dépréciations des comptes financiers","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_6","6","Charges","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_60","60","Achats et variation de stock","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_61","61","Services extérieurs","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_62","62","Autres services extérieurs","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_63","63","Impôts, taxes et versements assimilés","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_64","64","Charges de personnel","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_65","65","Autres charges de gestion courante","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_66","66","Charges financières","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_67","67","Charges exceptionnelles","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_68","68","Dotations aux amortissements et provisions","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_69","69","Participation des salariés, impôts sur les bénéfices et assimilés","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_7","7","Produits","l10n_fr_oca.l10n_fr_pcg_chart_template"
"pcg_group_70","70","Ventes de produits et services","l10n_fr_oca.l10n_fr_pcg_chart_template"
